store_id,format,region,monthly_sales
1,Convenience,East,20173
2,Wholesale,East,1870
3,Kirana,East,49231
4,Convenience,East,45656
5,Convenience,West,48487
6,Wholesale,East,16099
7,Kirana,North,20476
8,Kirana,East,19908
9,Convenience,West,71285
10,Modern Trade,East,38382
11,Convenience,North,34623
12,Convenience,West,57386
13,Convenience,West,19966
14,Convenience,North,43615
15,Wholesale,North,117139
16,Kirana,North,78996
17,Wholesale,North,43137
18,Wholesale,North,35622
19,Wholesale,West,48187
20,Convenience,West,86407
21,Modern Trade,East,82343
22,Kirana,East,96172
23,Modern Trade,South,40006
24,Wholesale,East,3296
25,Wholesale,East,111744
26,Modern Trade,North,17066
27,Modern Trade,North,56731
28,Modern Trade,East,3391
29,Wholesale,South,34074
30,Wholesale,North,25728
31,Kirana,East,96316
32,Kirana,East,43539
33,Wholesale,West,33801
34,Modern Trade,South,47086
35,Modern Trade,West,916
36,Kirana,South,19571
37,Wholesale,North,22249
38,Kirana,South,52506
39,Kirana,East,13821
40,Convenience,East,38731
41,Convenience,South,31333
42,Convenience,South,20505
43,Modern Trade,South,21674
44,Wholesale,West,31110
45,Wholesale,South,4737
46,Wholesale,North,57935
47,Wholesale,West,16958
48,Convenience,West,27065
49,Modern Trade,South,93987
50,Modern Trade,North,58630
51,Convenience,West,11570
52,Modern Trade,East,634
53,Convenience,West,48542
54,Wholesale,South,27935
55,Convenience,North,38905
56,Wholesale,South,57276
57,Wholesale,East,63670
58,Kirana,East,23723
59,Convenience,East,30711
60,Kirana,South,44555
61,Convenience,West,46686
62,Convenience,South,38621
63,Kirana,North,87134
64,Kirana,West,46311
65,Convenience,East,56687
66,Modern Trade,South,41076
67,Wholesale,East,13725
68,Kirana,East,19517
69,Wholesale,North,11091
70,Modern Trade,West,68625
71,Modern Trade,North,7308
72,Modern Trade,North,29730
73,Kirana,North,24809
74,Modern Trade,East,24278
75,Kirana,North,26049
76,Modern Trade,North,98177
77,Wholesale,West,4329
78,Wholesale,West,79942
79,Convenience,North,27870
80,Wholesale,West,60818
81,Convenience,West,35437
82,Wholesale,North,12253
83,Kirana,East,85107
84,Wholesale,North,76459
85,Convenience,West,13157
86,Convenience,East,51194
87,Modern Trade,South,20304
88,Kirana,East,7665
89,Wholesale,West,16997
90,Modern Trade,East,81802
91,Wholesale,North,61850
92,Wholesale,South,26299
93,Modern Trade,South,82061
94,Modern Trade,South,72543
95,Modern Trade,West,17021
96,Modern Trade,West,95599
97,Modern Trade,South,24607
98,Wholesale,East,27451
99,Modern Trade,South,4474
100,Kirana,East,19977
101,Convenience,East,29912
102,Modern Trade,West,41925
103,Modern Trade,East,12294
104,Wholesale,South,17726
105,Modern Trade,West,96990
106,Modern Trade,North,69312
107,Modern Trade,North,78139
108,Wholesale,West,31910
109,Modern Trade,South,42843
110,Convenience,North,52002
111,Wholesale,North,96054
112,Convenience,East,7485
